idx	year	month	journal	doi	pmid	verdict	text_source	catalog_flag	uniprot_candidates	ncbi_candidates	locus_candidates	enzyme_keyword_hits	title
65	2024	Aug	mSystems	10.1128/msystems.00108-24	38975760	WEAK_SIGNAL	PMC:PMC11334461	False				sulfate(1)	Impact of diet change on the gut microbiome of common marmosets
67	2024	Sep	Transl Psychiatry	10.1038/s41398-024-03112-6	39341817	WEAK_SIGNAL	PMC:PMC11438888	False				kinase(5)	Receptor and metabolic insights on the ability of caffeine to prevent alcohol-induced stimulation of mesolimbic dopamine transmission
68	2024	Jun	Res Sq (preprint)	10.21203/rs.3.rs-4289552/v1	38946995	WEAK_SIGNAL	PMC:PMC11213171	False				kinase(5)	Receptor and metabolic insights on the ability of caffeine to prevent alcohol-induced stimulation of mesolimbic dopamine transmission (preprint)
83			bioRxiv (2024)	10.1101/2024.05.13.593988		WEAK_SIGNAL	PMC:PMC11118438	?				sulfate(1)	plantMASST — Community-driven chemotaxonomic digitization of plants
85			Nat Commun (2025)	10.1038/s41467-025-65993-5		WEAK_SIGNAL	PMC:PMC12689629	?				reductase(1)	A resource to empirically establish drug exposure records directly from untargeted metabolomics data
104			Environ Sci Technol (2026)	10.1021/acs.est.5c12691		WEAK_SIGNAL	PMC:PMC12918520	?				sulfates(1)	Comparability of Liquid Chromatography Tandem Mass Spectrometry Analysis of Dissolved Organic Matter across Laboratories
111			bioRxiv (2024)	10.1101/2024.08.02.606356		WEAK_SIGNAL	PMC:PMC11312580	?				deconjugation(1)	Ordering molecular diversity in untargeted metabolomics via molecular community networking
116			PLoS One (2024)	10.1371/journal.pone.0303273		WEAK_SIGNAL	PMC:PMC11115249	?				sulfate(3)	Environmental metabolomics characterization of modern stromatolites and annotation of ibhayipeptolides
120			Phys Sci Rev (2024)	10.1515/psr-2024-0015		WEAK_SIGNAL	PMC:PMC11519840	?				kinase(2)	The workshops on computational applications in secondary metabolite discovery (CAiSMD)
124			Sci Adv (2025)	10.1126/sciadv.ado8335		WEAK_SIGNAL	PMC:PMC12143373	?				sulfate(4)	Tropical cyclones drive oxygen minimum zone shoaling and simultaneously alter organic matter production
8	2026	Feb	bioRxiv (preprint)	10.64898/2026.02.18.706700	41756824	NO_SIGNAL	PMC:PMC12934720	False					Unlocking the Bile Acid Universe: Advanced Workflows and a Multidimensional Library of 280 Unique Species
